,city name,country,date,latitude,longitude,max temperature,humidity,cloudiness,wind speed
222,Hit,IQ,1578261823,33.64,42.83,53.83,62,8,5.93
223,Arauca,VE,1578261766,7.08,-70.76,91.4,41,29,4.97
224,Ust-Tsilma,RU,1578261823,65.44,52.15,11.37,92,82,8.01
225,Denton,US,1578261823,33.22,-97.13,71.01,33,1,5.82
226,Luderitz,NA,1578261625,-26.65,15.16,63.55,85,0,24.99
227,Caravelas,BR,1578261823,-17.73,-39.27,79.48,84,94,8.79
228,Yeppoon,AU,1578261823,-23.13,150.74,80.6,65,2,6.93
229,Touros,BR,1578261676,-5.2,-35.46,82.4,69,40,14.99
230,Hulyaypole,UA,1578261823,47.67,36.26,34.11,97,100,4.07
231,Norman Wells,CA,1578261824,65.28,-126.83,-25.6,74,40,2.24
232,La Rioja,AR,1578261824,-29.41,-66.86,88.03,28,0,6.87
233,Celestun,MX,1578261824,20.87,-90.4,72.45,66,7,15.3
234,Hobyo,SO,1578261683,5.35,48.53,78.58,79,34,12.19
235,Almaznyy,RU,1578261713,48.03,40.04,35.6,93,75,4.47
236,Worland,US,1578261824,44.02,-107.96,37.4,72,1,3.38
237,Durban,CA,1578261692,51.93,-101.44,17.98,80,0,12.17
238,Sinop,TR,1578261824,42.03,35.15,45.32,63,100,4.32
239,Tubuala,PA,1578261824,9.52,-79.03,89.01,52,20,13.87
240,Salinopolis,BR,1578261824,-0.61,-47.36,81.3,78,100,13.69
241,Sandakan,MY,1578261824,5.84,118.12,80.6,78,40,6.93
242,Poum,MK,1578261824,41.28,20.71,23.95,69,2,7.63
243,Teya,MX,1578261824,21.05,-89.07,78.8,50,75,4.7
244,Taitung,TW,1578261825,22.76,121.15,46.36,77,93,2.82
245,Yumen,CN,1578261825,40.29,97.04,14.43,66,90,4.72
246,Bahia Blanca,AR,1578261647,-38.72,-62.27,66.2,93,90,5.82
247,Naraini,IN,1578261825,25.19,80.47,55.11,62,0,0.2
248,Muratbey,TR,1578261825,39.99,29.57,35.6,76,100,0.96
249,Roros,NO,1578261825,62.57,11.38,12.2,100,89,1.12
250,Alta Floresta,BR,1578261825,-9.87,-56.08,82.4,74,20,5.82
251,Leningradskiy,RU,1578261825,69.38,178.42,-11.0,51,0,1.83
252,Bogotol,RU,1578261825,56.21,89.53,21.9,91,100,6.17
253,Murmashi,RU,1578261825,68.82,32.82,14.0,72,61,4.47
254,Igrim,RU,1578261826,63.19,64.42,18.66,92,80,7.38
255,Panaba,MX,1578261826,21.28,-88.27,73.53,63,91,8.88
256,Esperance,AU,1578261826,-33.86,121.89,64.4,55,33,18.34
257,Krasnystaw,PL,1578261826,50.98,23.16,26.6,100,0,5.82
258,Macaubas,BR,1578261627,-13.02,-42.7,72.48,83,92,4.72
259,Yueyang,CN,1578261826,29.36,113.12,48.54,93,100,8.55
260,Yantal,RU,1578261826,56.85,105.25,4.21,94,0,6.04
261,Coquimbo,CL,1578261727,-29.95,-71.34,66.2,68,90,10.29
262,Listvyanskiy,RU,1578261826,54.44,83.49,14.49,94,99,10.04
263,Matehuala,MX,1578261826,23.65,-100.64,64.96,16,0,1.41
264,Paipa,CO,1578261826,5.78,-73.12,54.9,80,100,5.3
265,Caiaponia,BR,1578261826,-16.96,-51.81,77.29,77,1,4.43
266,Jalu,LY,1578261826,29.03,21.55,50.79,48,0,12.62
267,Tondano,ID,1578261826,1.3,124.91,75.2,94,20,1.83
268,Borogontsy,RU,1578261827,62.67,131.17,-5.8,98,100,4.56
269,Murakami,JP,1578261827,38.29,139.58,42.8,56,75,11.41
270,Port Macquarie,AU,1578261827,-31.43,152.91,75.99,73,90,8.05
271,Mwene-Ditu,CD,1578261827,-7.01,23.45,68.14,95,100,2.64
272,Sorong,ID,1578261827,-0.86,131.25,73.8,98,100,1.99
273,Cockburn Town,TC,1578261698,21.46,-71.14,80.6,69,40,4.7
274,Ostersund,SE,1578261722,63.18,14.64,37.0,90,42,8.05
275,Acajutla,SV,1578261827,13.59,-89.83,84.2,32,0,10.29
276,Butaritari,KI,1578261635,3.07,172.79,85.28,76,100,15.26
277,Hofn,IS,1578261743,64.25,-15.21,43.52,74,100,12.55
278,Mattru,SL,1578261827,7.62,-11.83,72.95,75,42,3.6
279,Nizhniy Kuranakh,RU,1578261781,58.84,125.49,12.34,91,100,6.02
280,Aklavik,CA,1578261827,68.22,-135.01,-16.6,68,90,6.93
281,Cape Coast,GH,1578261828,5.11,-1.24,82.0,54,0,9.86
282,Shieli,KZ,1578261828,44.18,66.74,28.89,95,100,9.13
283,Kagoro,NG,1578261828,9.6,8.38,59.0,41,52,11.41
284,Coihaique,CL,1578261536,-45.58,-72.07,57.2,62,75,8.05
285,Magdagachi,RU,1578261828,53.45,125.8,-17.52,98,40,2.48
286,Rio Grande,BR,1578261749,-32.03,-52.1,84.2,45,0,13.87
287,Arkhara,RU,1578261828,49.42,130.09,-10.46,97,13,1.7
288,Tchibanga,GA,1578261828,-2.92,11.0,74.86,93,98,0.96
289,Kimbe,PG,1578261828,-5.56,150.15,77.5,88,100,2.04
290,Kizukuri,JP,1578261829,40.81,140.39,35.01,49,100,10.0
291,Izumo,JP,1578261829,35.37,132.75,39.2,74,40,6.93
292,Markova,RU,1578261829,52.21,104.21,-0.4,84,90,4.47
293,Lorengau,PG,1578261829,-2.02,147.27,84.42,72,94,9.64
294,Nouadhibou,MR,1578261829,20.93,-17.03,62.6,51,33,9.17
295,Morant Bay,JM,1578261829,17.88,-76.41,84.2,70,20,8.05
296,Mildura,AU,1578261615,-34.18,142.16,55.4,93,100,10.29
297,Huarmey,PE,1578261829,-10.07,-78.15,78.49,57,82,7.34
298,Atambua,ID,1578261829,-9.11,124.89,75.81,84,100,2.35
299,Kaka,TM,1578261829,37.35,59.62,36.18,76,85,2.64
300,Alyangula,AU,1578261829,-13.85,136.42,78.8,94,100,2.24
301,Yertsevo,RU,1578261829,60.8,40.09,14.4,96,28,4.29
302,Brae,GB,1578261830,60.4,-1.35,50.0,93,100,23.04
303,Acari,BR,1578261830,-6.44,-36.64,89.92,34,100,9.8
304,San Andres,PH,1578261791,13.32,122.68,73.94,89,89,12.73
305,Nancha,CN,1578261830,47.14,129.26,2.44,96,66,3.06
306,Ulety,RU,1578261830,51.36,112.48,4.93,90,98,4.45
307,Bilma,NE,1578261830,18.69,12.92,54.57,29,93,5.93
308,Saint-Joseph,FR,1578261830,43.56,6.97,48.2,93,0,4.7
309,Milkovo,BG,1578261830,41.53,24.68,43.0,48,75,18.34
310,Muros,ES,1578261830,42.77,-9.06,46.99,100,1,4.7
311,Guangshui,CN,1578261830,31.62,113.82,43.56,93,100,6.49
312,Kruisfontein,ZA,1578261830,-34.0,24.73,65.17,83,100,5.23
313,San Luis,AR,1578261784,-33.3,-66.34,89.6,38,40,23.04
314,Eureka,US,1578261830,40.8,-124.16,55.99,71,40,6.93
315,Kaputa,ZM,1578261831,-8.47,29.66,65.05,88,100,2.73
316,Fortuna,US,1578261831,40.6,-124.16,55.99,71,40,6.93
317,Tateyama,JP,1578261831,36.66,137.31,33.8,80,20,4.7
318,Teguldet,RU,1578261831,57.31,88.17,22.41,94,100,7.94
319,Kununurra,AU,1578261831,-15.77,128.74,77.0,94,40,1.12
320,Puerto Carreno,CO,1578261831,6.19,-67.49,91.4,46,0,10.29
321,Tuatapere,NZ,1578261831,-46.13,167.69,53.01,71,100,25.99
322,Saint-Augustin,CA,1578261716,45.63,-73.98,21.2,61,75,5.82
323,Richards Bay,ZA,1578261831,-28.77,32.06,79.36,87,0,21.59
324,Marquette,US,1578261646,46.54,-87.4,28.0,92,90,5.82
325,Kamenka,MD,1578261831,48.03,28.7,33.01,84,99,1.99
326,Narsaq,GL,1578261831,60.91,-46.05,17.6,57,20,12.75
327,Taltal,CL,1578261831,-25.41,-70.49,65.77,68,9,5.73
328,Santa Maria,BR,1578261746,-16.02,-48.01,69.8,88,75,2.24
329,Faanui,PF,1578261831,-16.48,-151.75,81.57,75,37,9.42
330,Piacabucu,BR,1578261831,-10.41,-36.43,79.27,77,100,9.64
331,Sumbe,AO,1578261832,-11.2,13.84,77.56,85,100,4.14
332,Vila Franca do Campo,PT,1578261832,37.72,-25.43,64.4,93,40,17.22
333,Hambantota,LK,1578261832,6.12,81.12,75.2,100,13,5.82
334,Bonavista,CA,1578261832,48.65,-53.11,29.82,95,100,24.11
335,Lavrentiya,RU,1578261832,65.58,-170.99,-12.98,87,19,8.32
336,Tokmak,UA,1578261832,47.26,35.7,33.76,97,100,4.7
337,Santana do Livramento,BR,1578261832,-30.89,-55.53,87.4,38,0,9.73
338,Flekkefjord,NO,1578261832,58.3,6.66,46.99,93,100,5.01
339,Emilio Carranza,MX,1578261832,19.97,-96.61,68.22,71,51,7.31
340,Cidreira,BR,1578261832,-30.17,-50.22,74.61,82,0,19.3
341,Baykit,RU,1578261714,61.68,96.39,9.34,96,100,4.05
